"5596","5705"
"5720","5725"
"6790","6790"
"448","448"
"7145","7275"
"1787","1949"
"944","944"
"876","876"
"1512","1512"
"657","657"
"673","673"
"866","1284"
"2328","2328"
"215","215"
"246","246"
"740","740"
"10953","11064"
"11863","12046"
"404","404"
"12393","12571"
"443","443"
"515","515"
"1148","1148"
"554","554"
"13259","13775"
"923","923"
"943","943"
"14556","14756"
"116","116"
"134","134"
"910","1182"
"7507","7603"
"346","346"
"2824","2824"
"6961","6961"
"214","214"
"270","270"
"299","299"
"814","814"
"957","957"
"143","143"
"1368","1402"
"179","179"
"16665","17008"
"243","243"
"261","261"
"11608","11608"
"10597","10597"
"9998","9998"
"9643","9643"
"9055","9055"
"253","253"
"8524","8524"
"10385","10385"
"544","544"
"562","562"
"578","578"
"877","998"
"814","1016"
"297","514"
"414","532"
"747","747"
"767","767"
"738","785"
"51","51"
"67","67"
"84","84"
"444","799"
"35","35"
"921","921"
"15310","15361"
"50","50"
"69","69"
"14897","14897"
"79","79"
"134","134"
"14972","14972"
"62","62"
"12847","12847"
"314","314"
"12083","12083"
"11942","11942"
"449","449"
"162","467"
"484","484"
"11222","11222"
"11045","11045"
"17569","17849"
"10668","10668"
"6760","6760"
"116","116"
"134","134"
"8836","8836"
"665","665"
"24449","24606"
"25021","25344"
"899","1212"
"382","382"
"1973","2253"
"75","75"
"1573","1740"
"482","482"
"500","500"
"12015","12015"
"18867","18901"
"11539","11539"
"1867","1867"
"2193","2502"
"73","428"
"4847","4973"
"261","501"
"1498","1498"
"904","904"
"21083","21093"
"21973","21973"
"112","112"
"129","129"
"147","147"
"20524","20524"
"895","895"
"22583","22710"
"21491","21491"
"15574","15574"
"177","177"
"195","195"
"213","261"
"279","279"
"297","297"
"20865","20865"
"15752","15752"
"188","188"
"206","206"
"76","76"
"301","301"
"110","110"
"125","125"
"7810","8102"
"15992","15992"
"22084","22474"
"957","957"
"34446","34713"
"28951","28951"
"81","81"
"98","98"
"115","115"
"34463","34879"
"29112","29112"
"28106","28106"
"27506","27506"
"157","157"
"174","174"
"192","192"
"27337","27337"
"90","90"
"108","108"
"125","125"
"26043","26043"
"25028","25028"
"24238","24238"
"84","84"
"100","100"
"118","118"
"22333","22333"
"20718","20718"
"20531","20531"
"19714","19714"
"66","66"
"82","82"
"101","101"
"19017","19017"
"18838","18838"
"18655","18655"
"18258","18258"
"17869","17869"
"267","267"
"17539","17539"
"5333","5640"
"655","826"
"19373","19373"
"19252","19252"
"19","19"
"17506","17506"
"17372","17372"
"314","314"
"331","331"
"347","347"
"364","364"
"469","469"
"489","489"
"504","504"
"38168","38357"
"634","634"
"652","652"
"445","667"
"996","996"
"16","16"
"1046","1046"
"1064","1064"
"617","617"
"650","650"
"1880","1880"
"682","682"
"40852","41175"
"613","613"
"303","648"
"641","641"
"1471","1471"
"640","674"
"742","742"
"271","274"
"296","296"
"1561","1561"
"64","64"
"22584","22584"
"38072","38157"
"165","165"
"182","182"
"199","199"
"16","367"
"34238","34238"
"45","45"
"22385","22385"
"3353","3353"
"248","248"
"266","266"
"2941","2941"
"1120","1120"
"44871","45090"
"868","868"
"887","887"
"28944","28974"
"89","89"
"107","107"
"82","82"
"299","299"
"317","317"
"29413","29413"
"1467","1793"
"24352","24352"
"470","597"
"48","48"
"507","679"
"496","496"
"98","98"
"529","529"
"548","746"
"264","264"
"282","282"
"348","348"
"30264","30264"
"29652","29652"
"28648","28648"
"69","69"
"14804","14804"
"25518","25518"
"33422","33422"
"32","32"
"25265","25265"
"24706","24706"
"48270","48672"
"65","65"
"80","80"
"24905","24905"
"84","84"
"24883","24883"
"24318","24318"
"35","35"
"23812","23812"
"23694","23694"
"33444","33444"
"86","233"
"90","90"
"961","961"
"545","545"
"143","143"
"32275","32396"
"50","50"
"22829","22829"
"22262","22262"
"21717","21717"
"48","48"
"31680","31680"
"21041","21041"
"20907","20907"
"84","84"
"50264","50487"
"1432","1432"
"1452","1452"
"1531","1928"
"100","100"
"52115","52720"
"131","131"
"25738","25738"
"32","32"
"25222","25222"
"24984","25307"
"23735","23735"
"118","118"
"25120","25533"
"417","417"
"13419","13799"
"13048","13048"
"559","559"
"11087","11087"
"635","635"
"654","654"
"353","353"
"2600","2600"
"67","67"
"84","84"
"56253","56366"
"101","101"
"119","119"
"137","137"
"2235","2235"
"403","403"
"624","624"
"438","438"
"33203","33203"
"501","501"
"27519","27519"
"41140","41140"
"33","33"
"26681","26681"
"26549","26549"
"26413","26413"
"212","212"
"1087","1087"
"248","248"
"33858","33858"
"27169","27169"
"171","171"
"173","188"
"49","49"
"66","66"
"26154","26154"
"26224","26224"
"51","51"
"67","67"
"26170","26170"
"26238","26238"
"150","150"
"8518","8976"
"236","236"
"26097","26097"
"25950","25950"
"25813","25813"
"66","66"
"7243","7699"
"135","135"
"25002","25002"
"66","66"
"24910","24910"
"24754","24754"
"24634","24634"
"24488","24488"
"24353","24353"
"87","87"
"145","145"
"6954","7162"
"81","81"
"1533","1533"
"24386","24714"
"114","114"
"131","131"
"22125","22357"
"25698","26093"
"65","291"
"24545","24545"
"24447","24447"
"24298","24298"
"24151","24151"
"22994","22994"
"22859","22859"
"21913","21913"
"21775","21775"
"21229","21229"
"21093","21093"
"20547","20547"
"20410","20410"
"20277","20277"
"19938","19938"
"63","63"
"38190","38190"
"38312","38312"
"22442","22522"
"222","222"
"1321","1590"
"324","429"
"38328","38328"
"21253","21253"
"21106","21106"
"80","355"
